date,CHINA,JAPAN,EUROPE,WC_AMERICA,EC_AMERICA,KOREA,SOUTHEAST_ASIA,MEDITERRANEAN,AUSTRALIA_NEW_ZEALAND,SOUTH_AFRICA,SOUTH_AMERICA,WEST_EAST_AFRICA,PERSIAN_GULF_RED_SEA,n,week
18aug2023,889.52002,753.65997,1128.49,754.56,905.5,435.17999,546.78003,1556.71,623.82001,723.28998,713.21002,607.01001,854.98999,1,2023w33
25aug2023,894.65997,783.26001,1110.98,776.90002,904.79999,429.20999,526.76001,1545.5699,648.14001,707.62,727.73999,608.73999,904.34998,1,2023w34
01sep2023,892.97998,771.97998,1109.8199,766.87,917.46997,432.66,540.47998,1529.1,668.84998,722.85999,714.37,592.65002,910.45001,1,2023w35
08sep2023,890.34003,788.98999,1074.2,784.03998,914.65997,430.60999,548.90997,1495.42,676.58002,724.16998,700.02002,596.85999,935.42999,1,2023w36
15sep2023,875.21002,772.53998,1038.04,772.12,895.91998,438.20001,549.71997,1438,724.79999,724.41998,675.46997,596.25,965.02002,1,2023w37
22sep2023,871.79999,792.20001,1025.8199,767.28003,882.06,417.78,579.71997,1404.61,731.82001,726.21997,643.92999,572.95001,986.84003,1,2023w38
28sep2023,851.96002,810.82001,992.54999,747.28003,860.46997,439.60999,582.03998,1345.4,753.54999,721.03998,627.32001,552.65002,935.60999,1,2023w39
13oct2023,819.96997,805.78003,948.33002,721.20001,823.44,431.10999,594.40002,1274.41,723.08002,706.09003,569.71002,516.26001,881.40997,1,2023w41
20oct2023,817.20001,827.71002,939.52002,708.60999,845.96002,441.92001,611.04999,1240.47,742.72998,716.14001,577.38,513.39001,844.65002,1,2023w42
27oct2023,811.5,780.81,939.27002,718.34003,808.58002,436,586.67999,1221.3101,759.5,700.07001,602.44,549.15002,871.81,1,2023w43
03nov2023,827.84003,780.07001,903.5,733.84003,811.90002,448,646.09998,1234.0699,784.58002,741.09003,640.82001,554.65997,978.73999,1,2023w44
10nov2023,843.77002,793.37,952.58002,722.54999,824.79999,455.92001,642.34003,1237.25,804.46002,769.08002,636.09998,576.88,1038.41,1,2023w45
17nov2023,872.10999,775.77002,994.17999,740.52002,846.69,434.06,669.40002,1314.2,838.53998,765.66998,672.71997,583.90997,1097.3199,1,2023w46
24nov2023,876.73999,773.28998,998.94,745.82001,850.54999,451.47,670.71002,1302.03,867.23999,769.67999,668.67999,579.84003,1126.05,1,2023w47
01dec2023,857.71997,754.47998,974.23999,720.40002,853.34003,438.53,686.03998,1261.95,887.15002,773.5,659.98999,576.39001,1056.23,1,2023w48
08dec2023,858.40002,771.29999,983.75,718.95001,837.48999,435.35999,678.72998,1283.67,875.39001,764.40002,651.71997,548.82001,1053.33,1,2023w49
15dec2023,869.34003,772.35999,1023.75,718.5,845.31,455.82001,678.75,1310.39,862.07001,818.78003,644.75,536.72998,1037.3101,1,2023w50
22dec2023,879.75,804.90997,1049.63,703.98999,854.79999,454.56,680.90002,1352.49,849.19,823.12,650.15997,522.97998,1053.37,1,2023w51
29dec2023,909.19,792.31,1107.46,741.97998,867.28003,425.56,684.32001,1493.29,874.69,829.27002,621.29999,511.85001,1050.27,1,2023w52
05jan2024,936.83002,726.14001,1180.59,730.98999,901.64001,444.57999,677.97998,1664.75,886.87,850.28998,589.58002,521.69,1112.0699,1,2024w1
12jan2024,1140.3101,793.77002,1654.04,788.54999,993.71002,500.54001,679.88,2200.6201,955.66998,1067.73,645.21997,568.20001,1433.26,1,2024w2
19jan2024,1287.49,810.69,2033.95,851.88,1049.92,534.60999,695.48999,2517.3701,995.14001,1045.1801,748.09998,603.90997,1639.8101,1,2024w3
26jan2024,1403,807.60999,2296.72,916.57001,1154.5,508.57999,736.79999,2842.01,1030.01,1086.4399,776.66998,629.79999,1714.1801,1,2024w4
02feb2024,1464.8101,805.03998,2398.52,1039.5699,1275,549.66998,731.96997,3018.75,1047.88,1114.6801,735.85999,663.37,1573.33,1,2024w5
09feb2024,1455.1899,795.07001,2317.77,1126.4301,1348.35,507.14001,731.53998,2962.6699,1057.41,1133.92,719.91998,642.22998,1430.13,1,2024w6
23feb2024,1402.22,804.21997,2189.8701,1134.45,1292.6,517.53003,717.96997,2812.5601,1036.87,1035.42,688.66998,647.98999,1340.01,1,2024w8
01mar2024,1352.4,745.28003,2151.71,1090.92,1268.52,471.47,706.13,2634.1299,1019.14,911.25,675.21997,592.01001,1314.4,1,2024w9
08mar2024,1312.13,761.47998,2014.51,1055.1,1199.73,476.01999,722.58002,2511.47,960.67999,944,692.51001,633.97998,1396.36,1,2024w10
15mar2024,1278.28,739.21002,1886.6801,1041.39,1166.7,450.12,701.15997,2470.1001,917.48999,891.51001,699.33002,603.46997,1519.67,1,2024w11
22mar2024,1244.83,754.20001,1856.3,1001.68,1143.24,440.95999,724.40002,2392.77,899.10999,899.96002,683.66998,597.54999,1347.59,1,2024w12
29mar2024,1208.42,767.95001,1781.21,958.83002,1120.53,462.60001,700.94,2349.48,828.96002,886.25,656.41998,586.89001,1318.08,1,2024w13
03apr2024,1191.37,742.03998,1769.46,932.28998,1077.23,454.04001,715.53998,2276.3301,816.10999,911.92999,669.70001,590.79999,1325.59,1,2024w14
12apr2024,1185.13,738.45001,1725.59,953.08002,1063.41,462.10999,704.78998,2262.6101,790.46002,869.09998,707.85999,570.84003,1353.12,1,2024w15
19apr2024,1186.53,722.84003,1720.21,914.66998,1037.9399,438.16,719.09003,2242.5,778.04999,885.19,775.41998,553.20001,1513.46,1,2024w16
26apr2024,1193.64,723.12,1669.04,909.82001,1026.72,444.5,761.73999,2308.1499,790.84003,879.71997,822.15002,598.16998,1583.97,1,2024w17
10may2024,1237.84,729.66998,1736.53,923.32001,1017.46,458.95999,775.15002,2373.54,834.71002,961.46002,941.82001,699.5,1697.72,1,2024w19
17may2024,1311.85,744.71997,1838.17,1007.02,1106.27,472.76001,819.79999,2452.73,881.88,1074.4,1091.17,797.83002,1700.6,1,2024w20
24may2024,1389.16,735.54999,2011.53,1077.15,1183.38,471.47,822.79999,2568.46,895.41998,1212.9399,1187.02,944.09003,1687.42,1,2024w21
31may2024,1495.98,753.28003,2144.3,1186.53,1267.95,484.59,874.59998,2754.76,957.12,1345.26,1261.34,1104.03,1863.84,1,2024w22
07jun2024,1592.5699,722.02002,2337.51,1248.37,1366.64,486.07999,928.79999,2858.6001,974.28998,1544.33,1374.6899,1321.35,1955.35,1,2024w23
14jun2024,1733.47,708.33002,2546.8799,1367.66,1473.05,466.89999,1039.76,3070.5801,978.09003,1961.5601,1483.87,1430.41,2170.72,1,2024w24
21jun2024,1829.22,726.62,2677.1101,1440.54,1563.58,479.20999,1116.22,3235.9299,989.52002,2025.9301,1561.51,1480.6801,2365.9299,1,2024w25
28jun2024,1922.46,750.28998,2870.01,1507.75,1619.21,483.23999,1179.62,3330.24,1002.64,2151.7,1671.9,1572.59,2451.72,1,2024w26
05jul2024,2011.33,768.29999,3090.3401,1599.78,1654.16,504.54001,1258,3462.6001,1031.03,2256.25,1736.85,1490.85,2386.6299,1,2024w27
12jul2024,2085.05,774.44,3282.8999,1688.08,1728.05,498.19,1297.25,3508.3401,1043.6801,2335.8301,1845.79,1415.65,2321.25,1,2024w28
19jul2024,2153.5601,779,3520.9299,1650.86,1900.11,538.06,1377.61,3654.79,1062,2437.3701,1854.89,1404.98,2153.25,1,2024w29
26jul2024,2180.6899,768.91998,3651.1499,1694.26,1888.96,520.47998,1373.71,3685.6101,1075.86,2454.78,1753.6801,1446.5,2092.52,1,2024w30
02aug2024,2133.48,776.75,3684.4399,1567.8199,1831.63,548.56,1291.22,3633.01,1046.4399,2451.24,1654.95,1452.95,2034.86,1,2024w31
09aug2024,2138.3201,783.21997,3694.3301,1568.84,1770.67,521.71997,1377.77,3667.3999,1109.95,2411.1699,1586.58,1445.86,2022.47,1,2024w32
16aug2024,2073.4099,780.71002,3698.3601,1457.49,1675.35,539.59998,1229.99,3553.9199,1147.73,2385.21,1465.72,1428.97,1998.4,1,2024w33
23aug2024,2019.27,776.69,3581.4399,1398.4399,1632.22,517.78003,1264.4301,3487.73,1236.84,2337.9299,1427.0601,1378.4301,1875.53,1,2024w34
30aug2024,1974.46,786.48999,3424.5801,1407.5601,1628.61,544.14001,1191.53,3422.9399,1289.35,2338.47,1379.5699,1396.47,1840.45,1,2024w35
