id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4939800634201819,NgHozhD5h,5137216772,策略员HKing129,2023年8月28日周一，商品期货主力合约跌多涨少，碳酸锂跌近6%，纯碱跌超3%，集运指数（欧线）、玻璃、尿素、生猪、工业硅跌超2%。涨幅方面，液化石油气（LPG）涨超3%，低硫燃料油（LU）涨近3%，丁二烯橡胶（BR）、豆粕涨近2%。沪深300股指期货（IF）主力合约涨1.10%，上证50股指期货（IH）主力合约涨1.28%，中证500股指期货（IC）主力合约涨1.16%，中证1000股指期货（IM）主力合约涨0.5%。2年期国债期货（TS）主力合约跌0.02%，5年期国债期货（TF）主力合约跌0.04%，10年期国债期货（T）主力合约跌0.08%，30年期国债期货（TL）主力合约跌0.13%。国内期货主力合约资金流入方面，沪深3002309流入39.68亿，上证502309流入10.99亿，棉花2401流入5.1亿；资金流出方面，沪金2310流出14.71亿，沪银2310流出8.82亿，中证10002309流出8.2亿。日内行情基本上都是冲高回落走势，黑色系先是煤炭带队，铁矿跟随，螺纹和热卷也有调整，纯碱和玻璃也是相对来说跟的比较紧，煤化工的甲醇和乙二醇也是弱势调整，其他的化工尿素，塑料，纸浆，PTA等等也是小跌，收红的还是LPG，低硫燃油，原油，燃油这些，三大油脂，棕榈，豆油菜籽油也是冲高回落调整走势，关注行情是否延续，农副产品，豆粕菜粕还是偏强运行，棉花，白糖，鸡蛋，玉米等收红，生猪，苹果，花生，红枣等相对弱势一点。,,,,,0,0,1,2023-08-28 19:55,期货煤炭超话,,,,湖北,黄V
4939726810516188,NgFtv2ahC,6570937197,期市螺纹铁矿-句号谈期,午盘收盘，国内期货主力合约跌多涨少，碳酸锂跌近6%，纯碱跌超3%，集运指数（欧线）、玻璃、尿素、生猪、工业硅跌超2%。涨幅方面，液化石油气（LPG）涨超3%，低硫燃料油（LU）涨近3%，丁二烯橡胶（BR）、豆粕涨近2%。#期货#,,,,期货,0,0,1,2023-08-28 15:01,微博网页版,,,,福建,黄V
4939696305605923,NgEGinwm7,1916733321,国际商报,中国首个航运期货品种上市助力提升产业链企业风险管理水平和国际竞争力□本报记者刘叶琳近日，中国首个航运期货品种——集运指数（欧线）期货在上海期货交易所全资子公司上海国际能源交易中心正式挂盘交易。集运指数（欧线）期货是中国首个服务类期货品种，也是首个在商品期货交易所上市的指数类、现金交割的期货品种。业内人士普遍认为，中国港口集装箱吞吐量位列世界第一，推出集运指数（欧线）期货，可以满足航运企业和外贸企业的风险管理需求，提升产业链企业风险管理水平和国际竞争力。航运业是典型的重资产、高风险行业，国际集装箱运价受供求关系、成本因素、全球经济环境、汇率、政治、突发事件等多种因素综合影响，加之运力不可储存，一旦供需发生重大变化，运价也会随之出现大幅震荡。长期以来，海运价格水平大幅波动，运价波动给航运产业链企业和外贸企业的正常生产经营带来巨大挑战，国际集装箱运输市场的参与者有强烈的定价和避险需求。在此背景下，集运指数（欧线）期货应运而生，期货合约的标的物是上海出口集装箱结算运价指数（欧洲航线）。该指数由上海航运交易所编制并于北京时间每周一15:05发布，表征上海出口集装箱即期海运市场欧洲航线结算运价的变动方向和程度。据了解，集运指数（欧线）期货采用“服务型指数、国际平台、人民币计价、现金交割”的基本设计方案。集运指数（欧线）期货的标的指数上海出口集装箱结算运价指数（欧洲航线）是基于国际集装箱欧线运输服务的价格编制而成的指数，服务于国际集装箱欧线货物运输。集运指数（欧线）期货将作为境内特定品种，在上期能源上市交易，面向全球交易者开放，引入境内外交易者参与交易。集运指数（欧线）期货将用人民币作为计价和结算货币，这有助于丰富人民币的应用场景，促进中国期货市场更高水平对外开放。集运指数（欧线）期货合约到期后，交易双方将用规定的交割结算价来计算未平仓合约的盈亏，以现金支付的方式最终了结期货合约持仓。上海国际能源交易中心的相关负责人表示，集运指数（欧线）期货的上市和稳健运行意义重大。一是满足集运企业和外贸企业风险管理需求，提升产业链企业风险管理水平和国际竞争力。由于集装箱运输市场缺乏必要的价格风险管理工具，航运产业链企业、外贸企业的经营面临较大风险敞口。集运指数（欧线）期货上市可以更好地帮助集装箱运输产业链企业、外贸企业应对价格波动风险和行业周期风险，为企业稳健经营保驾护航。二是服务上海国际金融中心、国际航运中心建设。作为上海国际金融中心和国际航运中心建设的结合点，上市集运指数（欧线）期货有助于促进金融和航运两个市场的有效连接，有助于提升航运资源配置能力和航运金融服务能级，推动上海国际金融中心和国际航运中心协同发展。三是服务国家海洋强国、航运强国建设。上海期货交易所在中国证监会的领导下，以服务国家战略、服务实体经济高质量发展为己任，积极推动集运指数（欧线）期货上市，以金融之力促航运之新，助推中国航运业高质量发展，促进现代海运体系建设和健康发展。,,,,,0,0,0,2023-08-28 13:00,微博网页版,,,,,蓝V
4939314082614824,NguJOaYeA,5883677894,券商中国,【主力合约持仓增至2.2万手，航运指数期货上线首周运行平稳！上期所再出新举措】国内首个航运指数期货——集运指数（欧线）期货在上期能源上市已有一周时间。首周市场运行平稳，备受各方关注，不少专业人士都给出了高度评价。另外，为了提升市场效率，上期所又推两项新举措。O主力合约持仓增至2.2万手，航运指数期货上线首周运行平稳！上期所再出新举措,,,,,0,0,1,2023-08-27 11:41,微博网页版,,,,,蓝V
4938747705297880,Ngg0imedG,2143291610,打板龙空龙,上期所：为进一步优化交易机制，提升市场运行效率，上期所（含上期能源）发布相关公告对自然人持仓退出节点进行了调整，修订后的规则自2023年10月18日起实施。届时，所有期货品种“除原油和集运指数（欧线）外”从2311合约开始，自然人持仓退出节点统一为“最后交易日前第五个交易日收盘”。,,,,,0,0,0,2023-08-25 22:11,微博网页版,,,,河北,黄V
4938709884739479,Ngf1ijSXd,1905628462,上海证券报,#上证快讯#【上期所：所有期货品种自然人持仓退出节点调整为“最后交易日前第五个交易日收盘”】8月25日，为进一步优化交易机制，提升市场运行效率，上期所（含子公司上期能源）发布公告对自然人持仓退出节点进行了调整，修订后的规则自2023年10月18日起实施。届时，所有期货品种【除原油和集运指数（欧线）外】从2311合约开始，自然人持仓退出节点统一为“最后交易日前第五个交易日收盘”。O上期所：所有期货品种自然人持仓退出节点调整为“最后交易日前第五个交易日收盘”,,,,上证快讯,1,0,1,2023-08-25 19:40,微博网页版,,,,,蓝V
4938683066092030,Ngek2pyOy,2143291610,打板龙空龙,上海国际能源交易中心：自2023年9月4日收盘结算时起，国际铜、20号胶、原油、低硫燃料油等4个品种期货合约的套期保值交易保证金比例调整为涨跌停板幅度加一个百分点，较调整前的套期保值交易保证金比例优惠一个百分点。集运指数（欧线）期货合约的交易保证金比例不变。如遇上述交易保证金比例与现行执行的交易保证金比例不同时，则按两者中比例高的执行。,,,,,0,0,0,2023-08-25 17:54,微博网页版,,,,北京,黄V
4938681983959891,NgeiigC9d,1905628462,上海证券报,#上证快讯#【上海国际能源交易中心对国际铜等4个品种的交易保证金比例实施差异化设置】据上海国际能源交易中心8月25日消息，经研究决定，自2023年9月4日（星期一）收盘结算时起，对上海国际能源交易中心相关品种的交易保证金比例实施差异化设置，具体安排如下：国际铜、20号胶、原油、低硫燃料油等4个品种期货合约的套期保值交易保证金比例调整为涨跌停板幅度加一个百分点，较调整前的套期保值交易保证金比例优惠一个百分点。集运指数（欧线）期货合约的交易保证金比例不变。O上海国际能源交易中心对国际铜等4个品种的交易保证金比例实施差异化设置,,,,上证快讯,1,0,1,2023-08-25 17:50,微博网页版,,,,,蓝V
4938672622534997,Nge3caDt3,2299163722,Mysteel我的钢铁网,【上海国际能源交易中心实施差异化保证金制度】上期能源所公告，自2023年9月4日（星期一）收盘结算时起，对上海国际能源交易中心相关品种的交易保证金比例实施差异化设置，具体安排如下：#国际铜#、#20号胶#、#原油#、#低硫燃料#油等4个品种期货合约的套期保值交易保证金比例调整为涨跌停板幅度加一个百分点，较调整前的套期保值交易保证金比例优惠一个百分点。集运指数（欧线）期货合约的交易保证金比例不变。,,,,"国际铜,20号胶,原油,低硫燃料",0,0,0,2023-08-25 17:12,微博网页版,,,,江西,蓝V
4938307118827019,Ng4xFB2jh,2640657613,中州期货,"期货超话#中州晚报#【晚间分享】2023.8.24晚间新闻一览一、国内商品期市日间盘涨跌不一燃油跌超4%8月24日日间盘，国内商品期货主力合约涨跌互现。截至15:00，纯碱涨超3%；线材、豆油、沪银涨超2%；菜油、花生、郑棉、玉米等涨超1%；尿素、棕榈油、生猪、沪金等微涨。跌幅方面，燃油跌超4%；集运指数（欧线）跌超3%；沥青、原油、低硫燃料油跌超2%；焦炭、热轧卷板、不锈钢、鸡蛋等跌超1%；短纤、铁矿石、玻璃、苯乙烯等微跌。二、债市行情速递丨国债期货各主力合约微涨8月24日，国债期货各主力合约微涨。截至收盘，30年期国债期货（TL2312）报收101.360元，上涨0.180元，涨幅0.18%；10年期国债期货（T2312）报收102.665元，上涨0.035元，涨幅0.03%；5年期国债期货（TF2312）报收102.490元，上涨0.045元，涨幅0.04%；2年期国债期货（TS2312）报收101.405元，上涨0.030元，涨幅0.03%。三、8月24日全国碳市场碳排放配额收盘价较前一日下跌3.29%据上海环境能源交易所8月24日消息，今日全国碳市场碳排放配额（CEA）挂牌协议交易成交量42,621吨，成交额3,081,405.95元，开盘价67.90元/吨，最高价75.00元/吨，最低价67.90元/吨，收盘价72.30元/吨，收盘价较前一日下跌3.29%。四、全国政协十四届常委会第三次会议闭幕王沪宁主持并讲话新华社北京8月24日电政协第十四届全国委员会常务委员会第三次会议24日上午在京闭幕，会议以“完善科技创新体系，加快实施创新驱动发展战略”为议题协商议政。中共中央政治局常委、全国政协主席王沪宁主持闭幕会并讲话。他表示，中共十八大以来，习近平总书记准确把握新一轮科技革命和产业变革大趋势，围绕完善科技创新体系、加快实施创新驱动发展战略，作出一系列重要部署和重要论述。我们要提高政治站位，坚定创新自信，把思想和行动统一到以习近平同志为核心的中共中央有关决策部署上来，为实现高水平科技自立自强、建设科技强国广泛凝聚共识、汇聚智慧力量。（消息来源：上海证券报）",,,,中州晚报,0,0,0,2023-08-24 17:00,期货超话,,,,上海,蓝V
